algorithm	fanout	cascading	input_size	run	time
rank_unbounded	4	16	100000	0	0.0887475
rank_unbounded	4	16	100000	1	0.0827554
rank_unbounded	4	16	100000	2	0.0826395
rank_unbounded	4	16	100000	3	0.0827798
rank_unbounded	4	16	100000	4	0.0827517
rank_unbounded	4	16	1000000	0	1.34601
rank_unbounded	4	16	1000000	1	1.35295
rank_unbounded	4	16	1000000	2	1.35252
rank_unbounded	4	16	1000000	3	1.35244
rank_unbounded	4	32	10000	0	0.00647195
rank_unbounded	4	32	10000	1	0.00639777
rank_unbounded	4	32	10000	2	0.00640088
rank_unbounded	4	32	10000	3	0.00640047
rank_unbounded	4	32	10000	4	0.0064369
rank_unbounded	4	32	100000	0	0.0946355
rank_unbounded	4	32	100000	1	0.0898197
rank_unbounded	4	32	100000	2	0.0892868
rank_unbounded	4	32	100000	3	0.0890988
rank_unbounded	4	32	100000	4	0.0891439
rank_unbounded	4	32	1000000	0	1.41076
rank_unbounded	4	32	1000000	1	1.41619
rank_unbounded	4	32	1000000	2	1.4149
rank_unbounded	4	32	1000000	3	1.41272
rank_unbounded	4	64	10000	0	0.00659879
rank_unbounded	4	64	10000	1	0.0065004
rank_unbounded	4	64	10000	2	0.00651027
rank_unbounded	4	64	10000	3	0.00650426
rank_unbounded	4	64	10000	4	0.00648709
rank_unbounded	4	64	100000	0	0.097282
rank_unbounded	4	64	100000	1	0.0921554
rank_unbounded	4	64	100000	2	0.0919278
rank_unbounded	4	64	100000	3	0.0929013
rank_unbounded	4	64	100000	4	0.092115
rank_unbounded	4	64	1000000	0	1.45131
rank_unbounded	4	64	1000000	1	1.46702
rank_unbounded	4	64	1000000	2	1.46316
rank_unbounded	4	64	1000000	3	1.45699
rank_unbounded	4	128	10000	0	0.0070502
rank_unbounded	4	128	10000	1	0.00697725
rank_unbounded	4	128	10000	2	0.00698753
rank_unbounded	4	128	10000	3	0.00698968
rank_unbounded	4	128	10000	4	0.00697834
rank_unbounded	4	128	100000	0	0.104632
rank_unbounded	4	128	100000	1	0.0992366
rank_unbounded	4	128	100000	2	0.0991932
rank_unbounded	4	128	100000	3	0.100025
rank_unbounded	4	128	100000	4	0.0993466
rank_unbounded	4	128	1000000	0	1.55626
rank_unbounded	4	128	1000000	1	1.56505
rank_unbounded	4	128	1000000	2	1.56031
rank_unbounded	4	128	1000000	3	1.5594
rank_unbounded	4	256	10000	0	0.00722
rank_unbounded	4	256	10000	1	0.00718507
rank_unbounded	4	256	10000	2	0.00715448
rank_unbounded	4	256	10000	3	0.00714253
rank_unbounded	4	256	10000	4	0.00715472
rank_unbounded	4	256	100000	0	0.110914
rank_unbounded	4	256	100000	1	0.105731
rank_unbounded	4	256	100000	2	0.105543
rank_unbounded	4	256	100000	3	0.105566
rank_unbounded	4	256	100000	4	0.120164
rank_unbounded	4	256	1000000	0	1.6746
rank_unbounded	4	256	1000000	1	1.68306
rank_unbounded	4	256	1000000	2	1.68639
rank_unbounded	4	512	10000	0	0.00752597
rank_unbounded	4	512	10000	1	0.00748823
rank_unbounded	4	512	10000	2	0.00747869
rank_unbounded	4	512	10000	3	0.00757126
rank_unbounded	4	512	10000	4	0.00747418
rank_unbounded	4	512	100000	0	0.118162
rank_unbounded	4	512	100000	1	0.112789
rank_unbounded	4	512	100000	2	0.11281
rank_unbounded	4	512	100000	3	0.112627
rank_unbounded	4	512	100000	4	0.113243
rank_unbounded	4	512	1000000	0	1.84134
rank_unbounded	4	512	1000000	1	1.86245
rank_unbounded	4	512	1000000	2	1.85018
rank_unbounded	4	1024	10000	0	0.0213839
rank_unbounded	4	1024	10000	1	0.00682599
rank_unbounded	4	1024	10000	2	0.00680546
rank_unbounded	4	1024	10000	3	0.00683902
rank_unbounded	4	1024	10000	4	0.00680531
rank_unbounded	4	1024	100000	0	0.118219
rank_unbounded	4	1024	100000	1	0.112886
rank_unbounded	4	1024	100000	2	0.112831
rank_unbounded	4	1024	100000	3	0.1128
rank_unbounded	4	1024	100000	4	0.112763
rank_unbounded	4	1024	1000000	0	1.90212
rank_unbounded	4	1024	1000000	1	1.92125
rank_unbounded	4	1024	1000000	2	1.90941
rank_unbounded	8	1	10000	0	0.0068064
rank_unbounded	8	1	10000	1	0.00408749
rank_unbounded	8	1	10000	2	0.00402869
rank_unbounded	8	1	10000	3	0.00403107
rank_unbounded	8	1	10000	4	0.00402387
rank_unbounded	8	1	100000	0	0.106181
rank_unbounded	8	1	100000	1	0.0827981
rank_unbounded	8	1	100000	2	0.0826696
rank_unbounded	8	1	100000	3	0.0828385
rank_unbounded	8	1	100000	4	0.0830532
rank_unbounded	8	1	1000000	0	1.4463
rank_unbounded	8	1	1000000	1	1.46043
rank_unbounded	8	1	1000000	2	1.47691
rank_unbounded	8	1	1000000	3	1.45971
rank_unbounded	8	2	10000	0	0.00596943
rank_unbounded	8	2	10000	1	0.00451626
rank_unbounded	8	2	10000	2	0.00449884
rank_unbounded	8	2	10000	3	0.0045756
rank_unbounded	8	2	10000	4	0.00454568
rank_unbounded	8	2	100000	0	0.0887329
rank_unbounded	8	2	100000	1	0.0747157
rank_unbounded	8	2	100000	2	0.0746008
rank_unbounded	8	2	100000	3	0.075021
rank_unbounded	8	2	100000	4	0.074663
rank_unbounded	8	2	1000000	0	1.307
rank_unbounded	8	2	1000000	1	1.32997
rank_unbounded	8	2	1000000	2	1.32961
rank_unbounded	8	2	1000000	3	1.32571
rank_unbounded	8	4	10000	0	0.00578863
rank_unbounded	8	4	10000	1	0.00511645
rank_unbounded	8	4	10000	2	0.00507504
rank_unbounded	8	4	10000	3	0.00505924
rank_unbounded	8	4	10000	4	0.00506865
rank_unbounded	8	4	100000	0	0.0827138
rank_unbounded	8	4	100000	1	0.0730244
rank_unbounded	8	4	100000	2	0.0729138
rank_unbounded	8	4	100000	3	0.087912
rank_unbounded	8	4	100000	4	0.0732041
rank_unbounded	8	4	1000000	0	1.28069
rank_unbounded	8	4	1000000	1	1.27685
rank_unbounded	8	4	1000000	2	1.29068
rank_unbounded	8	4	1000000	3	1.2932
rank_unbounded	8	8	10000	0	0.00553638
rank_unbounded	8	8	10000	1	0.00519897
rank_unbounded	8	8	10000	2	0.00511855
rank_unbounded	8	8	10000	3	0.00522034
rank_unbounded	8	8	10000	4	0.00513732
rank_unbounded	8	8	100000	0	0.0793297
rank_unbounded	8	8	100000	1	0.0726798
rank_unbounded	8	8	100000	2	0.0721751
rank_unbounded	8	8	100000	3	0.0724102
rank_unbounded	8	8	100000	4	0.0722185
rank_unbounded	8	8	1000000	0	1.24647
rank_unbounded	8	8	1000000	1	1.25455
rank_unbounded	8	8	1000000	2	1.25387
rank_unbounded	8	8	1000000	3	1.25379
rank_unbounded	8	16	10000	0	0.00574484
rank_unbounded	8	16	10000	1	0.00555656
rank_unbounded	8	16	10000	2	0.00565667
rank_unbounded	8	16	10000	3	0.00566335
rank_unbounded	8	16	10000	4	0.00557501
rank_unbounded	8	16	100000	0	0.0825008
rank_unbounded	8	16	100000	1	0.0771479
rank_unbounded	8	16	100000	2	0.0771272
rank_unbounded	8	16	100000	3	0.0769592
rank_unbounded	8	16	100000	4	0.0770932
rank_unbounded	8	16	1000000	0	1.27248
rank_unbounded	8	16	1000000	1	1.31403
rank_unbounded	8	16	1000000	2	1.28112
rank_unbounded	8	16	1000000	3	1.28033
rank_unbounded	8	32	10000	0	0.00603726
rank_unbounded	8	32	10000	1	0.00599694
rank_unbounded	8	32	10000	2	0.00590816
rank_unbounded	8	32	10000	3	0.0058932
rank_unbounded	8	32	10000	4	0.00588858
