function,implementation,input_size,window_size,time
countd,Hyper tree,1420000,71000,0.11396828014403582
countd,Hyper tree,1440000,72000,0.11655847076326609
countd,Hyper tree,1460000,73000,0.11734472773969173
countd,Hyper tree,1480000,74000,0.11596534959971905
countd,Hyper tree,1500000,75000,0.11949020624160767
countd,Hyper tree,1520000,76000,0.11985368933528662
countd,Hyper tree,1540000,77000,0.12023938912898302
countd,Hyper tree,1560000,78000,0.12277165986597538
countd,Hyper tree,1580000,79000,0.1261867517605424
countd,Hyper tree,1600000,80000,0.12720275670289993
countd,Hyper tree,1620000,81000,0.12574974540621042
countd,Hyper tree,1640000,82000,0.13239774387329817
countd,Hyper tree,1660000,83000,0.1333974963054061
countd,Hyper tree,1680000,84000,0.13621271308511496
countd,Hyper tree,1700000,85000,0.13576886430382729
countd,Hyper tree,1720000,86000,0.139740826562047
countd,Hyper tree,1740000,87000,0.14058794174343348
countd,Hyper tree,1760000,88000,0.14056512899696827
countd,Hyper tree,1780000,89000,0.14058106392621994
countd,Hyper tree,1800000,90000,0.14124193601310253
countd,Hyper tree,1820000,91000,0.14685511868447065
countd,Hyper tree,1840000,92000,0.14363481756299734
countd,Hyper tree,1860000,93000,0.14629637636244297
countd,Hyper tree,1880000,94000,0.15043384302407503
countd,Hyper tree,1900000,95000,0.1503626275807619
countd,Hyper tree,1920000,96000,0.14926373679190874
countd,Hyper tree,1940000,97000,0.1539041195064783
countd,Hyper tree,1960000,98000,0.15157117135822773
countd,Hyper tree,1980000,99000,0.15669290628284216
countd,Hyper tree,2000000,100000,0.15360772609710693
percentile99,OST,1,1,3.06e-07
percentile99,OST,20000,1000,0.009165635
percentile99,OST,40000,2000,0.01165595
percentile99,OST,60000,3000,0.0105193
percentile99,OST,80000,4000,0.015068699999999999
percentile99,OST,100000,5000,0.01428885
percentile99,OST,120000,6000,0.0180127
percentile99,OST,140000,7000,0.01651365
percentile99,OST,160000,8000,0.02469555
percentile99,OST,180000,9000,0.018940099999999998
percentile99,OST,200000,10000,0.0221441
percentile99,OST,220000,11000,0.02377915
percentile99,OST,240000,12000,0.026398400000000002
percentile99,OST,260000,13000,0.02880085
percentile99,OST,280000,14000,0.0314675
percentile99,OST,300000,15000,0.034537700000000005
percentile99,OST,320000,16000,0.03601195
percentile99,OST,340000,17000,0.028943000000000003
percentile99,OST,360000,18000,0.031948050000000006
percentile99,OST,380000,19000,0.03401585
percentile99,OST,400000,20000,0.035545150000000005
percentile99,OST,420000,21000,0.04103885
percentile99,OST,440000,22000,0.0413984
percentile99,OST,460000,23000,0.045982499999999996
percentile99,OST,480000,24000,0.04687185
percentile99,OST,500000,25000,0.0483767
percentile99,OST,520000,26000,0.052217
percentile99,OST,540000,27000,0.0556966
percentile99,OST,560000,28000,0.055853099999999996
percentile99,OST,580000,29000,0.06151445
percentile99,OST,600000,30000,0.0658733
percentile99,OST,620000,31000,0.06848905
percentile99,OST,640000,32000,0.0728686
percentile99,OST,660000,33000,0.09789275
percentile99,OST,680000,34000,0.103688
percentile99,OST,700000,35000,0.1042795
percentile99,OST,720000,36000,0.11326549999999999
percentile99,OST,740000,37000,0.12291750000000001
percentile99,OST,760000,38000,0.12781399999999998
percentile99,OST,780000,39000,0.1335955
percentile99,OST,800000,40000,0.137486
percentile99,OST,820000,41000,0.13741350000000002
percentile99,OST,840000,42000,0.14684000000000003
percentile99,OST,860000,43000,0.1476175
percentile99,OST,880000,44000,0.1525575
percentile99,OST,900000,45000,0.16116799999999998
percentile99,OST,920000,46000,0.16085950000000002
percentile99,OST,940000,47000,0.16991799999999999
percentile99,OST,960000,48000,0.17319299999999999
percentile99,OST,980000,49000,0.176973
percentile99,OST,1000000,50000,0.185824
percentile99,OST,1020000,51000,0.1917315
percentile99,OST,1040000,52000,0.1964555
percentile99,OST,1060000,53000,0.204675
percentile99,OST,1080000,54000,0.21533950000000002
percentile99,OST,1100000,55000,0.2204205
percentile99,OST,1120000,56000,0.214437
percentile99,OST,1140000,57000,0.229885
percentile99,OST,1160000,58000,0.23037049999999998
percentile99,OST,1180000,59000,0.2378665
percentile99,OST,1200000,60000,0.24639899999999998
percentile99,OST,1220000,61000,0.250274
percentile99,OST,1240000,62000,0.25170349999999997
percentile99,OST,1260000,63000,0.256769
percentile99,OST,1280000,64000,0.27533799999999997
percentile99,OST,1300000,65000,0.38342600000000004
percentile99,OST,1320000,66000,0.3920865
percentile99,OST,1340000,67000,0.39907149999999997
percentile99,OST,1360000,68000,0.4166335
percentile99,OST,1380000,69000,0.4226885
percentile99,OST,1400000,70000,0.4311115
percentile99,OST,1420000,71000,0.4445975
percentile99,OST,1440000,72000,0.447278
percentile99,OST,1460000,73000,0.45108349999999997
percentile99,OST,1480000,74000,0.464712
percentile99,OST,1500000,75000,0.474522
percentile99,OST,1520000,76000,0.499773
percentile99,OST,1540000,77000,0.496741
percentile99,OST,1560000,78000,0.5140765
percentile99,OST,1580000,79000,0.5214015000000001
percentile99,OST,1600000,80000,0.519386
percentile99,OST,1620000,81000,0.534599
percentile99,OST,1640000,82000,0.5413075
percentile99,OST,1660000,83000,0.550292
percentile99,OST,1680000,84000,0.5689185
percentile99,OST,1700000,85000,0.5787705000000001
percentile99,OST,1720000,86000,0.5880795000000001
